proper,con,dist,mag,absmag,ci
,And,621.1,8.98,0.01,1.5
,Peg,390.6,9.84,1.88,0.696
,Scl,262.5,8.98,1.88,0.107
,Cas,289.0,7.98,0.68,0.97
,Cet,763.4,10.16,0.75,0.45
,Phe,106.6,8.86,3.72,0.66
,And,230.4,8.58,1.77,0.06
,Psc,699.3,9.56,0.34,1.113
,Tuc,15.3,9.24,8.31,1.39
,Cet,212.3,9.63,3.0,0.509
,Peg,12.2,5.8,5.37,0.69
,Cep,877.2,9.05,-0.66,0.976
,And,380.2,8.45,0.55,0.248
,Cas,211.9,8.86,2.23,1.035
,Cas,221.2,7.84,1.12,0.923
,And,216.0,8.86,2.19,0.53
,Cet,238.1,8.93,2.05,0.172
,Scl,108.8,7.97,2.79,0.556
,Cet,65.3,6.9,2.83,0.534
,Cet,286.5,8.47,1.18,1.171
,Cas,363.6,6.77,-1.03,1.832
,Cas,431.0,8.55,0.38,1.004
,Scl,154.1,5.04,-0.9,-0.15
,Peg,31.2,8.48,6.01,0.888
,Peg,77.4,8.53,4.09,0.53
,Psc,122.9,6.33,0.88,0.182
,Psc,128.7,8.99,3.44,0.5
,Psc,100.5,8.64,3.63,0.488
,Cas,406.5,9.55,1.5,0.237
,Peg,87.5,8.74,4.03,0.57
,Phe,38.4,12.43,9.51,1.49
,Psc,272.5,8.16,0.98,1.032
,Scl,220.8,9.46,2.74,0.944
,Psc,36.9,5.7,2.86,0.315
,And,117.6,7.62,2.27,0.517
,And,714.3,8.97,-0.3,0.952
,Peg,222.2,8.94,2.21,0.276
,Peg,254.5,7.24,0.21,0.074
,Scl,258.4,10.32,3.26,0.323
,Peg,92.2,8.24,3.42,0.474
,Cas,689.7,8.62,-0.57,0.303
,Cet,390.6,9.18,1.22,0.981
,Phe,657.9,8.53,-0.56,1.274
,Psc,124.7,8.54,3.06,0.384
,Peg,104.0,8.56,3.48,0.436
,Tuc,293.3,9.41,2.07,0.967
,Cet,134.8,9.05,3.4,0.47
,Scl,196.1,9.52,3.06,0.832
,Scl,193.8,10.24,3.8,0.318
,Cas,143.7,7.7,1.91,1.003
,Peg,265.3,8.17,1.05,0.29
,Cep,350.9,7.29,-0.44,0.118
,Cep,458.7,9.26,0.95,1.8
,And,258.4,7.94,0.88,0.016
,Phe,355.9,8.42,0.66,1.005
,Psc,98.2,8.56,3.6,0.602
,And,176.4,7.52,1.29,0.18
,Cep,148.8,7.74,1.88,0.483
,Phe,421.9,8.85,0.72,1.113
,Psc,347.2,9.01,1.31,1.01
,Psc,42.6,7.17,4.02,0.617
,Cet,116.6,9.04,3.71,0.489
,Cep,87.3,9.86,5.16,0.442
,Peg,100.8,7.64,2.62,0.532
,And,350.9,8.27,0.54,0.128
,Peg,131.4,8.44,2.85,0.423
,Tuc,284.1,9.58,2.31,0.5
,Scl,184.5,8.43,2.1,0.007
,Cep,336.7,8.49,0.85,1.18
,Cep,490.2,9.64,1.19,0.31
,Cep,295.0,9.17,1.82,1.222
,Psc,367.6,8.09,0.26,1.26
,Phe,158.0,9.0,3.01,0.903
,Cet,61.2,6.25,2.32,0.526
,Psc,166.1,8.56,2.46,0.521
,Psc,296.7,10.81,3.45,0.565
,Psc,271.0,8.76,1.6,1.01
,Scl,142.5,7.76,1.99,0.967
,Tuc,305.8,7.82,0.39,1.041
,And,265.3,7.9,0.78,0.668
,Cet,225.7,8.52,1.75,1.036
,Cas,55.5,9.73,6.01,0.99
,Psc,184.2,9.19,2.86,0.346
,Psc,110.7,8.1,2.88,0.342
,Peg,80.9,8.75,4.21,0.552
,Cas,249.4,8.14,1.16,0.88
,Cet,203.7,6.46,-0.08,1.176
,And,162.3,6.73,0.68,0.051
,Cet,91.7,7.96,3.15,0.421
,Cas,224.7,9.53,2.77,0.461
,Scl,212.8,8.87,2.23,0.081
,Peg,171.5,6.59,0.42,1.122
,Cas,436.7,8.65,0.45,1.455
,Phe,166.4,9.64,3.53,0.432
,Cet,200.8,9.15,2.64,0.424
,And,181.5,9.04,2.75,0.422
,Psc,29.2,12.04,9.71,1.473
,And,254.5,8.42,1.39,1.174
,Cet,331.1,8.09,0.49,1.125
,Psc,98.5,8.09,3.12,0.455
,Peg,324.7,8.77,1.21,1.125
,Cep,210.1,7.36,0.75,0.146
,Scl,202.0,9.16,2.63,0.232
,Scl,409.8,8.82,0.76,0.979
,Phe,751.9,11.14,1.76,0.041
,Cas,763.4,6.24,-3.17,0.332
,Scl,168.4,9.44,3.31,0.439
,Peg,58.2,7.49,3.67,0.636
,Scl,65.6,6.96,2.88,0.353
,Cas,636.9,7.94,-1.08,-0.023
,Cas,256.4,8.15,1.1,0.134
,Cas,404.9,8.45,0.41,1.655
,Peg,606.1,7.92,-0.99,1.408
,Peg,144.5,7.45,1.65,0.353
,Tuc,645.2,9.01,-0.04,0.956
,Scl,970.9,8.55,-1.39,1.212
,Cet,518.1,9.16,0.59,1.538
,And,169.2,7.9,1.76,1.071
,Phe,295.9,8.68,1.32,1.011
,Scl,64.8,7.78,3.72,0.563
,Scl,476.2,8.21,-0.18,-0.123
,Cep,362.3,8.11,0.32,-0.019
,Phe,82.9,8.29,3.7,0.488
,Psc,120.0,7.89,2.49,0.401
,Phe,335.6,9.67,2.04,0.397
,Scl,38.9,8.24,5.29,0.78
,And,137.9,6.8,1.1,0.06
,Peg,409.8,8.18,0.12,1.015
,Tuc,108.7,8.44,3.26,0.508
,Cet,83.5,4.55,-0.06,-0.047
,And,150.4,7.45,1.56,0.244
,Cep,266.0,6.31,-0.81,1.629
,Cas,205.8,8.15,1.58,0.316
,Peg,183.5,8.27,1.95,0.136
,Scl,46.9,7.66,4.3,0.741
,Tuc,74.7,8.59,4.22,0.616
,Phe,75.5,11.55,7.16,1.26
,Peg,76.6,7.09,2.67,0.303
,Phe,234.2,8.54,1.69,0.23
,Phe,89.8,9.58,4.81,0.7
,And,169.5,8.44,2.29,0.456
,Phe,102.4,8.01,2.96,0.406
,Peg,145.1,8.29,2.48,0.54
,Tuc,144.3,9.62,3.82,0.657
,Peg,176.4,7.26,1.03,0.355
,Oct,168.9,7.91,1.77,0.314
,Scl,377.4,9.45,1.57,1.115
,Scl,95.6,8.93,4.03,0.607
,Cas,241.0,7.65,0.74,0.992
,Peg,146.8,8.53,2.7,0.491
,Cas,130.7,7.38,1.8,1.003
,And,68.5,8.56,4.38,0.615
,Peg,425.5,8.76,0.62,1.692
,Psc,645.2,9.56,0.51,0.39
,Scl,223.7,7.09,0.34,-0.085
,Cet,111.6,9.83,4.59,0.699
,Scl,392.2,10.8,2.83,0.882
,Scl,154.8,8.41,2.46,0.563
,Cet,274.7,9.05,1.86,0.16
,Peg,204.1,8.88,2.33,0.253
,Cas,323.6,7.59,0.04,1.68
,Scl,78.7,9.6,5.12,0.75
,Tuc,259.7,8.55,1.48,0.037
,Phe,77.5,8.11,3.66,0.484
,Cet,121.4,9.6,4.18,0.549
,Cet,90.7,5.78,0.99,1.084
,And,185.5,10.66,4.32,1.5
,Scl,124.8,6.38,0.9,0.006
,Phe,210.1,8.8,2.19,1.031
,Cas,609.8,7.79,-1.14,-0.089
,Peg,57.4,8.6,4.81,0.64
,Scl,289.9,7.77,0.46,-0.058
,Phe,47.8,10.37,6.98,1.1
,Phe,44.5,9.8,6.56,0.855
,Cas,86.3,10.42,5.74,0.8
,Phe,204.5,11.63,5.08,0.971
,Cas,413.2,9.22,1.14,1.001
,Cet,641.0,4.99,-4.04,1.619
,Cet,90.8,8.43,3.64,0.611
,Tuc,93.8,7.33,2.47,0.444
,Oct,892.9,8.93,-0.82,1.025
,Oct,56.5,9.09,5.33,0.639
,Cep,182.8,9.26,2.95,1.162
,Tuc,229.9,8.73,1.92,1.036
,Cet,833.3,9.18,-0.42,1.169
,And,266.0,8.12,1.0,2.53
,Cet,337.8,9.26,1.62,1.149
,Scl,429.2,8.94,0.78,1.181
,And,386.1,6.11,-1.82,0.159
,Oct,450.5,9.13,0.86,0.239
,Psc,228.3,7.9,1.11,1.249
,Peg,704.2,9.34,0.1,0.95
,Phe,387.6,7.13,-0.81,1.26
,Tuc,228.8,7.46,0.66,1.072
,Cet,546.4,8.72,0.03,1.508
,And,177.3,7.02,0.78,1.1
,Psc,179.2,8.37,2.1,0.881
,Tuc,175.4,5.59,-0.63,-0.1
,Peg,91.7,7.37,2.56,0.422
,Cep,92.7,5.68,0.84,1.051
,Peg,123.0,8.56,3.11,0.792
,Cas,565.0,8.72,-0.04,-0.014
,Scl,184.8,9.06,2.73,0.368
,Psc,213.7,8.82,2.17,0.433
,Psc,137.7,8.18,2.48,0.376
,And,92.5,9.39,4.56,0.735
,And,666.7,8.46,-0.66,0.556
,Psc,182.5,9.15,2.84,0.394
,Scl,220.3,8.28,1.56,0.002
,And,163.9,8.18,2.11,0.43
,Peg,113.6,7.93,2.65,0.478
,Cas,591.7,9.21,0.35,0.964
,And,39.2,6.09,3.12,0.632
,Scl,337.8,8.31,0.67,0.036
,Scl,229.9,7.83,1.02,1.256
,Cas,565.0,8.72,-0.04,0.082
,Cas,840.3,6.61,-3.01,0.025
,Peg,200.0,6.25,-0.26,1.368
,Peg,26.4,7.82,5.71,0.755
,Cas,355.9,8.66,0.9,1.614
,Cas,128.4,8.15,2.61,0.475
,Cet,89.4,8.97,4.21,0.674
,And,71.1,7.47,3.21,0.55
,Tuc,43.3,8.13,4.95,0.71
,Cas,223.7,8.23,1.48,0.986
,Tuc,112.4,8.41,3.16,0.461
,Peg,168.1,6.47,0.34,0.946
,Cas,154.3,8.64,2.7,1.3
,Scl,51.3,7.73,4.18,0.537
,Psc,102.0,8.94,3.9,0.415
,Psc,90.3,8.84,4.06,0.759
,Psc,138.9,6.32,0.61,1.099
,Cas,221.7,5.8,-0.93,-0.067
,Phe,250.6,8.97,1.98,0.86
,Phe,41.9,7.53,4.42,0.577
,Cep,312.5,7.41,-0.06,1.288
,Peg,253.2,7.8,0.78,0.437
,Tuc,68.7,8.14,3.95,0.593
,And,138.5,6.71,1.0,0.068
,Phe,510.2,8.73,0.19,1.124
,Psc,98.7,8.69,3.72,0.644
,And,11.3,9.95,9.69,1.472
,Scl,122.5,7.1,1.66,1.128
,And,260.4,8.09,1.01,0.496
,And,97.3,6.88,1.94,0.174
,Scl,387.6,9.04,1.1,0.692
,Phe,94.6,9.3,4.42,0.538
,Tuc,15.9,8.49,7.48,1.076
,And,235.3,8.3,1.44,0.998
,Cep,169.5,7.08,0.93,-0.006
,Scl,208.8,6.93,0.33,0.94
,Cet,191.9,8.38,1.96,-0.06
,Psc,39.5,4.61,1.63,1.029
,Scl,4.3,8.56,10.37,1.462
,Tuc,757.6,8.78,-0.62,1.156
,Phe,113.1,7.42,2.15,0.191
,Psc,334.4,8.26,0.64,1.052
,Oct,215.5,7.71,1.04,1.093
,Psc,196.5,6.91,0.44,1.12
,Scl,105.8,9.16,4.04,0.782
,Peg,273.2,8.99,1.81,1.199
,Peg,284.9,8.63,1.36,0.46
,Peg,540.5,9.9,1.24,0.599
,Psc,282.5,7.59,0.34,1.045
,Cet,154.1,7.39,1.45,0.99
,Scl,176.4,7.78,1.55,1.123
,Phe,740.7,7.47,-1.88,1.62
,Cet,214.6,6.97,0.31,1.444
,Tuc,51.2,8.82,5.28,0.666
,Peg,45.2,9.13,5.85,0.735
,And,97.1,7.86,2.92,0.494
,Cet,50.7,7.13,3.61,0.446
,Cep,429.2,8.78,0.62,1.249
,Cas,378.8,7.23,-0.66,1.174
,Phe,166.4,9.73,3.62,0.725
,Tuc,196.1,7.36,0.9,0.993
,Phe,309.6,7.36,-0.09,1.444
,And,862.1,8.47,-1.21,-0.18
,Tuc,440.5,9.37,1.15,1.537
,Cas,247.5,6.99,0.02,1.187
,And,11.3,8.2,7.93,1.41
,And,163.7,8.36,2.29,0.247
,Cas,52.6,8.22,4.62,0.636
,Peg,114.3,5.55,0.26,0.901
,Scl,141.4,9.91,4.16,0.353
,Cet,598.8,9.67,0.78,0.524
,Cet,248.1,8.6,1.63,1.1
,Scl,145.1,10.15,4.34,0.677
,Peg,128.0,7.75,2.21,0.414
,Cep,236.4,9.21,2.34,0.097
,And,231.5,8.47,1.65,0.045
,Phe,199.2,9.37,2.87,0.507
,Cep,99.1,9.44,4.46,0.617
,Tuc,115.6,9.99,4.68,0.646
,Psc,69.2,10.38,6.18,0.782
,Phe,39.4,7.51,4.53,0.595
,Peg,321.5,8.91,1.37,1.19
,Peg,37.1,7.45,4.6,0.596
,Cet,133.9,9.57,3.94,0.51
,Tuc,77.8,8.99,4.54,0.585
,Peg,37.1,8.58,5.73,0.92
,Peg,287.4,6.9,-0.39,1.564
,Cas,146.6,7.55,1.72,0.3
,And,239.2,7.93,1.04,0.239
,Phe,826.4,9.57,-0.02,1.812
,Scl,352.1,8.55,0.82,1.357
,Peg,359.7,6.62,-1.16,1.531
,Peg,492.6,7.89,-0.57,0.93
,Peg,254.5,7.51,0.48,1.112
,Oct,540.5,8.51,-0.15,1.576
,And,248.1,6.65,-0.32,0.912
,Scl,79.3,9.67,5.17,0.633
,Psc,86.8,7.8,3.11,0.501
,Psc,155.5,8.21,2.25,1.108
,Scl,212.8,7.9,1.26,-0.03
,Cep,746.3,8.94,-0.42,1.0
,Cet,246.9,9.82,2.86,0.418
,Psc,157.2,8.69,2.71,0.509
,Phe,173.0,8.89,2.7,0.476
,Cas,21.5,5.98,4.32,0.687
,Tuc,174.8,7.92,1.71,0.459
,Cet,666.7,7.6,-1.52,1.539
,Psc,218.8,8.22,1.52,1.22
,Phe,25.7,5.7,3.65,0.519
,Tuc,16.7,12.17,11.06,1.55
,Cet,135.5,8.75,3.09,0.487
,And,119.2,6.93,1.55,1.086
,Cas,252.5,7.97,0.96,0.256
,Cep,287.4,8.06,0.77,1.431
,Cet,232.6,10.13,3.3,0.593
,Cet,142.0,7.31,1.55,0.402
,And,106.6,8.35,3.21,0.624
,Cas,266.0,5.57,-1.55,-0.023
,Hyi,209.2,9.85,3.25,0.526
,Cet,740.7,9.16,-0.19,1.045
,Phe,826.4,9.03,-0.56,1.349
,Phe,152.0,10.07,4.16,0.59
,Peg,666.7,9.76,0.64,1.39
,Cet,210.1,9.35,2.74,0.41
,Psc,66.7,10.95,6.83,1.008
,And,133.9,8.87,3.24,0.426
,Peg,162.1,6.68,0.63,0.986
,Phe,112.4,9.69,4.44,0.578
,Cas,228.8,8.05,1.25,0.112
,And,13.7,6.07,5.39,0.752
,And,314.5,8.51,1.02,1.107
,Scl,212.3,7.71,1.08,1.038
,Cet,175.4,8.56,2.34,0.548
,Cep,990.1,8.26,-1.72,1.233
,Psc,189.8,10.92,4.53,0.792
,Psc,729.9,10.51,1.19,0.759
,Cet,448.4,9.83,1.57,0.587
,Cet,84.7,9.84,5.2,0.69
,Psc,170.9,9.74,3.58,0.494
,Psc,110.7,8.21,2.99,0.574
,Peg,208.3,8.72,2.13,0.41
,Tuc,518.1,8.03,-0.54,1.631
,Cet,39.4,6.19,3.21,0.386
,Cep,228.8,11.79,4.99,0.71
,Peg,236.4,8.22,1.35,0.951
,And,262.5,7.93,0.84,1.107
,Phe,662.3,10.18,1.08,0.58
,Psc,134.2,8.98,3.34,0.567
,Cas,318.5,9.13,1.62,1.125
,Scl,363.6,6.91,-0.89,1.123
,Phe,625.0,8.79,-0.19,1.234
,Psc,54.8,8.23,4.54,0.58
,Scl,113.9,10.24,4.96,0.402
,And,369.0,8.83,1.0,1.114
,Phe,255.1,7.62,0.59,0.955
,Phe,230.9,8.96,2.14,0.446
,Cas,209.6,10.41,3.8,0.51
,Cas,324.7,8.97,1.41,0.05
,And,62.2,9.61,5.64,0.761
,Peg,134.8,8.29,2.64,0.387
,Cet,267.4,8.26,1.12,0.494
,Psc,115.9,7.44,2.12,0.203
,Cas,229.9,9.52,2.71,0.19
,Cep,191.9,8.2,1.78,0.295
,Cet,95.9,8.68,3.77,0.529
,Scl,187.6,8.65,2.28,0.061
,Cet,143.7,10.52,4.73,0.512
,Scl,183.5,8.41,2.09,0.405
,Peg,183.5,9.18,2.86,0.333
,Cep,246.9,8.42,1.46,0.345
,And,396.8,8.86,0.87,1.552
,And,199.6,7.92,1.42,1.054
,Psc,188.3,8.85,2.48,0.323
,Tuc,210.5,9.31,2.69,0.226
,Cet,125.5,10.28,4.79,0.503
,Hyi,79.9,7.56,3.05,0.419
,Cep,234.2,7.88,1.03,0.407
,Peg,369.0,7.99,0.16,1.441
,Phe,59.2,8.23,4.37,0.599
,Scl,684.9,8.52,-0.66,1.084
,Peg,63.3,9.14,5.14,0.74
,Cet,176.1,6.2,-0.03,0.133
,Psc,165.8,7.64,1.54,0.493
,Psc,111.7,8.95,3.71,0.653
,Phe,529.1,7.48,-1.14,1.532
,Scl,50.3,7.06,3.55,0.463
,Peg,126.1,7.33,1.83,1.011
,Cet,781.2,8.98,-0.48,0.739
,Cet,136.2,8.24,2.57,0.271
,Phe,141.6,8.53,2.77,0.909
,Hyi,361.0,8.4,0.61,1.014
,Phe,142.9,7.48,1.7,0.466
,And,662.3,9.29,0.18,1.01
,Peg,182.8,8.57,2.26,0.249
,Cet,33.0,8.7,6.1,0.798
,And,93.3,8.5,3.65,0.451
,Tuc,109.2,8.37,3.18,0.595
,And,161.8,6.87,0.82,1.124
,Tuc,438.6,7.5,-0.71,1.703
,Oct,287.4,7.39,0.1,-0.018
,Phe,120.2,8.19,2.79,0.584
,Cas,591.7,7.56,-1.3,0.9
,Cas,116.1,8.37,3.04,0.379
,And,174.2,7.39,1.18,1.008
,And,92.3,6.73,1.9,0.951
,Tuc,340.1,8.66,1.0,0.79
,Psc,223.7,8.25,1.5,0.17
,Cet,313.5,8.47,0.99,0.953
,And,106.4,8.01,2.88,0.456
,Tuc,124.8,6.83,1.35,1.158
,Phe,757.6,9.06,-0.34,1.074
,Phe,289.9,8.79,1.48,1.127
,And,124.8,7.44,1.96,0.478
,Psc,183.5,6.43,0.11,-0.146
,Cet,78.4,5.93,1.46,0.141
,Psc,242.7,8.85,1.92,1.196
,Peg,227.8,9.86,3.07,0.244
,Cet,198.0,8.55,2.07,0.964
,And,168.1,7.66,1.53,0.181
,Cas,48.9,7.82,4.37,0.61
,Psc,87.6,9.08,4.37,0.595
,Phe,193.1,10.1,3.67,0.57
,Phe,247.5,8.21,1.24,1.087
,Cet,108.7,8.85,3.67,0.631
,Hyi,507.6,7.79,-0.74,1.45
,Cet,266.0,7.58,0.46,1.271
,Cet,86.0,7.85,3.18,0.505
,Hyi,102.5,7.18,2.13,0.156
,And,207.9,7.54,0.95,0.408
,Phe,209.6,9.72,3.11,0.434
,And,125.8,7.12,1.62,0.184
,Scl,173.6,9.77,3.57,0.306
,Phe,215.5,8.84,2.17,1.042
,Scl,95.0,5.67,0.78,1.119
,Cas,109.4,8.15,2.96,0.617
,Scl,237.0,9.61,2.74,0.961
,Psc,263.2,8.19,1.09,1.079
,And,200.8,7.27,0.76,0.207
,Cep,326.8,8.51,0.94,0.215
,Tuc,393.7,8.36,0.38,1.113
,Scl,195.3,10.0,3.55,0.55
,Tuc,315.5,8.74,1.25,1.227
,Psc,279.3,6.18,-1.05,1.366
,Phe,116.0,10.26,4.94,0.73
,Phe,255.1,10.16,3.13,0.393
,And,259.7,8.31,1.24,1.053
,And,253.8,8.58,1.56,0.915
,Cet,27.4,7.04,4.85,0.624
,And,502.5,8.81,0.3,0.31
,Cet,98.4,5.99,1.02,1.034
,Scl,161.0,8.22,2.18,1.064
,Phe,113.3,9.86,4.59,0.789
,Psc,270.3,8.0,0.84,1.193
,Peg,93.3,9.4,4.55,0.57
,Cet,237.0,9.1,2.23,1.169
Alpheratz,And,29.7,2.07,-0.3,-0.038
,Cas,549.5,8.11,-0.59,0.098
,Phe,800.0,8.89,-0.62,1.179
,Phe,416.7,9.43,1.33,0.47
,Psc,39.1,7.59,4.63,0.626
,And,452.5,8.72,0.44,0.071
,Phe,304.0,9.86,2.45,0.157
,Phe,502.5,9.23,0.72,0.988
,Scl,213.7,9.5,2.85,0.493
,Peg,21.7,10.73,9.04,1.46
,Cet,123.2,7.59,2.14,0.508
,And,85.5,7.41,2.75,0.606
,Tuc,90.5,9.26,4.48,0.675
,Cas,76.9,7.78,3.35,0.358
,Cet,862.1,7.76,-1.92,1.618
,Peg,106.4,8.94,3.81,0.419
,Psc,284.9,8.95,1.68,0.435
,Cas,369.0,6.41,-1.42,0.998
,Cet,578.0,6.11,-2.7,1.664
,Cas,134.6,7.76,2.12,0.415
,Tuc,277.8,7.38,0.16,1.326
,And,32.4,6.21,3.65,0.504
,Psc,172.1,7.05,0.87,0.963
,Cep,175.7,7.44,1.22,-0.006
,Phe,197.6,8.5,2.02,0.406
,Peg,255.1,7.84,0.81,1.125
,Scl,165.6,7.88,1.78,0.473
,Tuc,347.2,9.1,1.4,1.113
,Scl,143.3,8.65,2.87,0.471
,Cep,57.1,8.41,4.63,0.588
,Phe,138.3,7.81,2.11,0.481
,Psc,84.8,7.43,2.79,0.296
,Cet,297.6,8.76,1.39,0.965
,And,177.0,7.58,1.34,0.994
,Tuc,236.4,9.55,2.68,0.473
,And,255.1,6.82,-0.21,1.568
,Scl,840.3,10.24,0.62,0.46
,Peg,138.5,6.24,0.53,0.976
,Psc,502.5,7.31,-1.2,1.43
,Phe,281.7,10.52,3.27,0.51
,Scl,800.0,9.27,-0.24,1.146
,Cet,254.5,7.13,0.1,1.64
,Psc,80.3,8.48,3.96,0.537
,Cas,30.3,8.57,6.16,0.885
