proper,con,dist,mag,absmag,ci
,Hyi,277.0,7.1,-0.11,1.131
,Cet,92.3,8.64,3.81,0.446
,And,149.3,7.99,2.12,0.039
,Tri,40.0,10.12,7.11,1.205
,For,20.6,10.89,9.32,1.449
,Ari,105.7,7.24,2.12,0.377
,Cet,155.8,8.7,2.74,0.415
,Cet,33.7,9.91,7.27,0.952
,And,320.5,7.7,0.17,0.061
,Cet,162.1,7.05,1.0,0.987
,Cet,145.8,9.4,3.58,0.372
,Hor,370.4,9.37,1.53,1.252
,For,51.2,7.59,4.04,0.537
,Cet,77.7,8.6,4.15,0.502
,Eri,283.3,7.88,0.62,1.21
,Cet,197.6,8.91,2.43,0.784
,Cet,17.1,8.69,7.52,1.397
,Cet,65.3,9.33,5.26,0.746
,Eri,136.4,9.1,3.43,0.559
,Hyi,161.3,7.17,1.13,1.269
,Hor,153.1,8.39,2.46,0.33
,Ari,111.5,9.41,4.17,0.581
,For,96.7,8.61,3.68,0.47
,For,86.1,9.62,4.95,0.695
,Cas,202.8,7.89,1.35,1.484
,Ari,104.8,8.29,3.19,0.546
,For,148.8,8.87,3.01,1.037
,Cas,833.3,7.78,-1.82,0.046
,Hyi,213.2,8.45,1.81,1.125
,And,56.5,6.16,2.4,0.435
,Hyi,657.9,8.61,-0.48,1.298
,Cas,106.2,7.28,2.15,0.352
,For,203.7,8.41,1.86,0.969
,Hor,89.8,7.45,2.68,0.506
,Cet,106.8,9.72,4.58,0.64
,For,546.4,7.61,-1.08,1.581
,And,207.0,9.08,2.5,0.389
,Per,847.5,7.89,-1.75,-0.01
,Cet,166.7,6.45,0.34,0.971
,Cas,268.8,8.63,1.48,0.193
,For,46.6,5.13,1.79,0.089
,Hyi,45.6,10.13,6.84,1.065
,And,241.5,8.7,1.78,0.441
,Hor,119.2,6.35,0.97,-0.025
,Hor,95.2,8.9,4.01,0.433
,Hor,158.5,7.06,1.06,1.118
,Cep,256.4,8.41,1.36,0.155
,Cet,59.2,4.3,0.44,-0.053
,And,77.9,7.03,2.57,0.316
,Tri,49.8,5.29,1.8,0.311
,Per,303.0,8.04,0.63,0.233
,Eri,182.1,6.96,0.66,1.125
,Eri,94.1,9.75,4.88,0.701
,Tri,191.6,7.25,0.84,0.722
,Ari,128.0,10.76,5.22,0.827
,Per,724.6,8.85,-0.45,1.133
,Eri,78.1,8.21,3.75,0.451
,Tri,847.5,7.84,-1.8,1.498
,For,200.4,7.64,1.13,1.034
,For,431.0,7.19,-0.98,1.629
,And,386.1,9.24,1.31,0.183
,Ari,281.7,8.48,1.23,1.02
,Ari,390.6,10.32,2.36,0.413
,Cet,91.7,8.73,3.92,0.684
,Eri,99.2,9.03,4.05,0.635
,Hor,206.2,8.88,2.31,0.461
,Cet,271.0,8.65,1.48,0.902
,Cas,56.0,7.78,4.04,0.65
,Ari,74.4,11.72,7.36,1.198
,Cet,46.6,8.56,5.22,0.697
,Ari,99.9,11.4,6.4,1.049
,Ari,507.6,10.17,1.64,0.383
,Per,262.5,7.27,0.18,1.649
,Eri,58.8,8.66,4.81,0.67
,Tri,324.7,8.59,1.03,0.312
,Hor,357.1,9.17,1.41,1.188
,Ari,240.4,8.61,1.7,0.44
,And,869.6,9.17,-0.53,0.05
,And,112.0,7.81,2.56,0.493
,Cet,211.0,8.62,2.0,1.128
,Ari,112.4,8.6,3.35,0.318
,For,735.3,9.13,-0.2,1.071
,For,110.0,6.11,0.9,1.106
,Cet,201.2,8.58,2.06,0.126
,Tri,155.5,8.53,2.57,0.356
,Cas,166.7,7.64,1.53,0.208
,Hor,270.3,9.29,2.13,1.308
,Eri,200.4,9.01,2.5,0.45
,Hor,114.3,8.51,3.22,0.436
,Ari,80.6,10.22,5.69,0.83
,Cet,86.6,7.91,3.22,0.422
,For,381.7,8.92,1.01,0.437
,Cet,198.8,8.95,2.46,0.778
,And,558.7,8.82,0.08,0.218
,For,59.8,9.25,5.36,0.713
,Cet,81.5,7.85,3.29,0.518
,Ari,112.9,9.52,4.26,0.48
,Cas,245.7,10.04,3.09,1.3
,Tri,71.0,7.5,3.24,0.57
,Tri,26.2,9.57,7.48,1.33
,Cet,65.6,7.05,2.96,0.427
,Tri,199.2,8.5,2.0,0.981
,Cas,313.5,8.96,1.48,0.189
,Cet,198.0,8.97,2.49,0.465
,Ari,746.3,8.42,-0.94,0.13
,Tri,31.4,5.89,3.4,0.591
,For,206.6,9.03,2.45,0.578
,And,109.2,8.61,3.42,0.97
,Eri,840.3,8.68,-0.94,1.589
,For,116.6,8.93,3.6,0.436
,Cet,82.2,8.05,3.48,0.551
,Ari,179.2,8.62,2.35,0.309
,Eri,165.0,9.52,3.43,0.514
,Eri,217.4,8.02,1.33,1.002
,Ari,26.0,12.0,9.92,1.5
,Ari,127.1,9.19,3.67,0.477
,Ari,77.2,8.79,4.35,0.57
,For,181.5,9.43,3.14,0.543
,Hor,253.2,8.72,1.7,0.107
,Cet,350.9,9.72,1.99,1.433
,Cet,19.5,8.78,7.32,1.12
,Cet,961.5,8.77,-1.14,1.007
,Cet,342.5,7.77,0.1,1.582
,Cet,263.2,8.17,1.07,0.992
,Cas,40.7,4.46,1.41,0.153
,Cet,120.8,7.98,2.57,0.498
,Cet,436.7,8.72,0.52,1.462
,Ari,58.5,9.23,5.4,0.88
,And,174.2,6.78,0.57,0.169
,For,81.1,8.84,4.3,0.647
,Eri,87.3,7.98,3.28,0.652
,Cep,73.4,9.48,5.15,0.797
,Ari,95.2,6.2,1.31,0.155
,For,398.4,8.32,0.32,0.95
,Hor,278.6,8.26,1.03,1.136
,For,689.7,10.31,1.12,1.6
,And,277.0,7.27,0.06,0.206
,Ari,92.1,8.01,3.19,0.528
,Eri,89.6,9.11,4.35,0.576
,Cet,53.5,7.13,3.49,0.447
,Cet,184.8,8.48,2.15,0.494
,Tri,367.6,7.51,-0.32,1.393
,Cet,302.1,8.07,0.67,1.077
,For,266.0,7.76,0.64,1.216
,And,91.1,9.87,5.07,0.546
,Cet,236.4,7.13,0.26,1.058
,Per,162.9,6.52,0.46,0.091
,Cet,204.5,9.4,2.85,0.505
,For,366.3,8.95,1.13,1.15
,Eri,51.4,9.47,5.91,0.822
,Cet,85.0,9.62,4.97,0.682
,Hyi,56.7,9.94,6.17,0.956
,Cet,232.6,7.99,1.16,1.26
,For,50.1,7.34,3.84,1.049
,Hyi,374.5,8.67,0.8,1.333
,Cet,302.1,6.95,-0.45,0.335
,Cet,102.7,6.09,1.03,1.022
,Cas,505.1,8.52,0.0,0.267
,Hor,348.4,9.62,1.91,1.412
,Cet,202.8,8.75,2.21,0.431
,Cas,304.9,8.51,1.09,0.37
,Eri,290.7,8.89,1.57,0.996
,Cet,257.1,8.11,1.06,0.889
,Per,172.1,8.44,2.26,1.177
,And,169.2,6.71,0.57,1.115
,Cas,313.5,9.39,1.91,0.337
,Cet,124.2,9.95,4.48,0.4
,Cet,114.9,8.55,3.25,0.546
,Cet,119.8,8.86,3.47,0.611
,Ari,342.5,9.06,1.39,1.117
,Cas,245.1,8.52,1.57,0.222
,Ari,307.7,9.64,2.2,0.447
,Hor,193.8,8.45,2.01,0.565
,Hyi,355.9,7.81,0.05,1.531
,Cet,90.4,6.76,1.98,0.193
,And,155.3,6.78,0.82,1.075
,Cet,225.7,8.72,1.95,1.154
,Per,452.5,7.23,-1.05,0.685
,Eri,473.9,8.56,0.18,1.51
,Per,480.8,8.01,-0.4,1.048
,Hyi,280.9,8.83,1.59,0.425
,Hyi,207.0,7.89,1.31,0.546
,Cet,95.6,8.19,3.29,0.493
,Per,274.0,8.0,0.81,0.155
,Cet,414.9,8.46,0.37,0.986
,Cas,432.9,9.96,1.78,0.415
,Cet,201.2,9.68,3.16,0.394
,Tri,144.7,8.38,2.58,0.214
,Cet,139.7,8.99,3.26,0.494
,Cet,171.8,8.12,1.94,0.486
,Hor,206.6,9.3,2.72,0.339
,Eri,177.3,9.17,2.93,0.383
,Cet,100.8,12.07,7.05,1.074
,And,163.7,8.2,2.13,0.309
,And,106.3,7.55,2.42,0.22
,For,100.6,6.5,1.49,0.294
,And,68.7,8.0,3.82,0.593
,Eri,970.9,9.18,-0.76,0.983
,For,116.8,8.01,2.67,0.463
,Hor,292.4,6.76,-0.57,1.591
,Cet,185.9,8.23,1.88,0.327
,Tri,119.6,6.26,0.87,1.079
,Cet,26.7,12.79,10.66,-0.056
,Cet,269.5,9.76,2.61,0.496
,Cet,90.9,9.63,4.84,0.458
,Cet,94.5,9.6,4.72,0.602
,Cas,256.4,9.16,2.12,0.326
,Per,107.4,8.68,3.52,0.518
,Cet,168.9,9.11,2.97,0.461
,For,118.5,8.03,2.66,0.563
,Hor,63.3,7.41,3.4,0.458
,And,307.7,7.33,-0.11,1.002
,And,302.1,7.24,-0.16,1.684
,Cet,126.6,7.67,2.16,0.06
,Ari,245.1,8.6,1.65,0.969
,Cet,371.7,9.52,1.67,0.392
,Ari,279.3,8.23,1.0,1.079
,For,248.1,8.71,1.74,0.524
,Cet,219.8,7.87,1.16,0.347
,Ari,51.8,5.88,2.31,0.412
,Cet,160.3,6.17,0.15,1.581
,Ari,108.9,9.58,4.39,0.511
,And,182.8,7.4,1.09,1.104
,For,289.0,9.34,2.04,1.016
,Eri,909.1,8.54,-1.25,1.293
,For,645.2,8.46,-0.59,1.398
,Ari,66.1,6.14,2.04,0.247
,Cas,99.2,9.2,4.22,0.6
,And,80.6,7.74,3.21,0.652
,Cet,139.1,10.09,4.37,0.62
,And,188.0,6.82,0.45,1.355
,Cet,87.5,10.22,5.51,0.59
,And,295.9,8.02,0.66,1.104
,And,398.4,9.05,1.05,0.257
,Ari,65.0,8.22,4.16,0.561
,Cet,86.3,6.0,1.32,0.168
,For,148.8,7.55,1.69,0.33
,Tri,123.8,7.81,2.35,0.176
,Cet,95.8,8.58,3.67,0.628
,Ari,85.0,8.92,4.27,0.538
,Hor,71.5,8.47,4.2,0.584
,Cet,108.1,8.35,3.18,0.519
,Cas,518.1,9.16,0.59,1.721
,Per,54.7,6.97,3.28,0.429
,Hor,188.0,7.17,0.8,0.144
,Ari,88.5,6.21,1.48,0.908
,Cet,180.5,8.11,1.83,0.12
,Ari,120.9,8.9,3.49,0.425
,Hor,283.3,7.89,0.63,0.945
,Hor,169.2,8.39,2.25,0.349
,Eri,649.4,7.99,-1.07,1.437
,Eri,210.5,8.54,1.92,1.074
,For,86.2,9.71,5.03,0.574
,Cas,83.2,8.08,3.48,0.434
,Cet,32.9,10.9,8.31,1.34
,For,448.4,8.72,0.46,0.372
,For,320.5,9.64,2.11,0.58
,Tri,95.3,7.95,3.05,0.47
,Eri,62.5,11.24,7.26,1.027
,Hyi,215.1,7.29,0.63,0.883
,Cet,194.9,9.64,3.19,1.119
,Hyi,153.6,8.99,3.06,0.49
,Per,201.2,9.88,3.36,1.295
,Hor,264.6,9.52,2.41,1.125
,Cet,165.0,9.57,3.48,0.439
,And,109.6,7.09,1.89,0.187
,Cet,420.2,8.3,0.18,1.146
,Per,456.6,9.04,0.74,0.091
,Per,386.1,8.99,1.06,0.34
,And,339.0,8.48,0.83,1.488
,Cet,189.4,8.74,2.35,0.402
,Cas,961.5,7.93,-1.98,1.394
,Cet,189.8,9.15,2.76,0.591
,Hor,204.5,8.81,2.26,0.486
,Ari,39.8,8.03,5.03,0.666
,Cet,173.9,10.46,4.26,0.453
,Per,169.2,9.35,3.21,0.29
,And,243.3,8.11,1.18,0.102
,Hor,450.5,8.5,0.23,1.216
,Per,193.1,6.61,0.18,1.401
,And,141.2,7.69,1.94,0.403
,Cet,71.3,7.67,3.4,0.194
,Cet,49.9,7.46,3.97,0.177
,Cet,140.8,5.27,-0.47,1.271
,Cet,35.0,10.24,7.52,1.253
,Ari,357.1,9.39,1.63,1.036
,Ari,89.0,7.34,2.59,0.446
,For,323.6,8.27,0.72,1.103
,Ari,114.8,9.05,3.75,0.613
,For,135.9,7.55,1.88,0.311
,Hor,284.9,8.54,1.27,1.23
,Per,260.4,8.35,1.27,0.158
,Cet,148.6,9.56,3.7,0.629
,Hor,531.9,8.66,0.03,1.296
,Tri,74.7,8.3,3.93,0.454
,Cet,94.3,9.65,4.78,0.5
,Cet,260.4,8.52,1.44,0.304
,Tri,179.5,9.19,2.92,0.448
,Hor,157.7,8.07,2.08,0.528
,Cas,187.3,9.42,3.06,0.412
,Eri,216.0,9.3,2.63,0.553
,Hyi,87.0,5.27,0.57,0.981
,Eri,178.6,9.85,3.59,0.561
,Cet,27.9,8.67,6.44,0.935
,Ari,166.9,8.4,2.29,0.985
Polaris,UMi,132.6,1.97,-3.64,0.636
,Ari,161.0,7.48,1.44,1.289
,And,165.3,7.0,0.91,1.169
,For,177.0,8.95,2.71,0.318
,For,531.9,9.2,0.57,1.149
,And,113.3,7.01,1.74,0.366
,Cas,507.6,9.16,0.63,1.169
,Tri,189.0,9.11,2.73,0.997
,Eri,377.4,9.78,1.9,0.552
,Cas,144.9,8.89,3.08,0.634
,Hor,100.4,8.99,3.98,0.596
,Hor,293.3,8.18,0.84,1.056
,For,157.0,9.34,3.36,0.68
,And,840.3,8.18,-1.44,1.127
,Cet,235.3,7.91,1.05,0.277
,Ari,110.9,7.97,2.75,0.58
,Cet,26.7,4.74,2.61,0.454
,Tri,132.8,5.15,-0.47,1.472
,And,425.5,7.11,-1.03,1.734
,Tri,68.0,7.72,3.56,0.443
,For,138.1,9.4,3.7,0.563
,Cet,375.9,7.69,-0.19,1.337
,And,578.0,7.72,-1.09,0.06
,Cet,81.4,5.36,0.81,1.004
,Cas,378.8,9.92,2.03,0.542
,Cet,89.8,9.79,5.02,0.95
,For,234.2,6.59,-0.26,1.214
,Ari,166.4,8.44,2.33,0.193
,Per,52.4,6.76,3.16,0.363
,Ari,79.4,7.34,2.84,0.366
,Cet,175.1,7.59,1.37,1.072
,Hor,304.0,8.35,0.94,1.084
,For,297.6,7.66,0.29,1.293
,Tri,260.4,9.04,1.96,1.02
,For,144.3,6.28,0.48,1.027
,Ari,142.2,7.45,1.68,1.01
,Eri,180.2,7.03,0.75,0.967
,Tri,215.1,7.58,0.92,0.848
,Tri,222.7,8.01,1.27,0.69
,Tri,169.8,8.24,2.09,0.06
,Cet,138.1,8.68,2.98,0.38
,And,71.9,8.12,3.84,0.58
,And,174.5,6.84,0.63,0.043
,Cet,137.0,9.57,3.89,0.62
,Ari,201.2,7.81,1.29,0.399
,Cet,45.9,11.74,8.43,1.357
,And,253.8,7.67,0.65,-0.051
,Cas,109.3,8.07,2.88,0.393
,Cas,194.9,8.31,1.86,-0.4
,Hyi,68.9,8.56,4.37,0.63
,Cet,138.9,8.7,2.99,0.88
,For,95.1,7.41,2.52,0.217
,Ari,263.2,8.91,1.81,0.509
,Ari,970.9,8.39,-1.55,1.04
,Ari,409.8,9.44,1.38,1.126
,Cet,130.4,9.9,4.32,0.592
,Cet,208.3,8.69,2.1,0.36
,Ari,221.7,8.85,2.12,0.348
,Cet,136.1,8.21,2.54,0.456
,Cet,228.3,8.73,1.94,0.346
,Cet,124.1,7.22,1.75,0.894
,And,277.8,7.78,0.56,-0.071
,For,340.1,8.85,1.19,1.012
,Cas,645.2,8.13,-0.92,0.635
,Cet,265.3,7.37,0.25,1.234
,Cet,65.8,8.49,4.4,0.501
,Cet,103.1,8.77,3.7,0.53
,Tri,83.3,5.84,1.24,1.083
,Per,487.8,8.35,-0.09,0.791
,Eri,237.5,8.86,1.98,0.327
,Ari,29.9,6.0,3.62,0.572
,And,129.0,10.02,4.47,0.635
,Cet,238.7,8.62,1.73,0.505
,And,63.5,7.47,3.46,0.36
,Per,209.6,7.89,1.28,0.285
,Eri,120.9,9.39,3.98,0.526
,Eri,204.1,8.76,2.21,0.369
,Hyi,22.7,8.84,7.06,1.045
,Cet,328.9,8.88,1.29,1.419
,Cet,182.8,7.97,1.66,0.114
,Ari,54.1,12.08,8.41,0.8
,Cas,432.9,10.1,1.92,0.381
,Hyi,255.8,7.96,0.92,1.015
,Eri,423.7,8.69,0.56,1.291
,For,74.7,8.9,4.53,0.509
,Cet,248.8,8.71,1.73,1.201
,Cet,93.5,9.35,4.5,0.66
,Cet,34.6,12.0,9.3,1.5
,Cet,694.4,8.47,-0.74,0.927
,Cet,45.0,9.78,6.51,0.99
,Hyi,51.2,7.87,4.32,0.616
,For,111.9,5.91,0.67,1.064
,Cet,233.6,9.51,2.67,1.026
,Ari,292.4,7.21,-0.12,1.05
,Per,129.5,7.6,2.04,0.157
,And,152.0,7.9,1.99,0.493
,And,79.3,7.15,2.65,0.719
,Cas,149.9,8.29,2.41,0.351
,And,510.2,7.95,-0.59,1.665
,Cet,231.5,9.52,2.7,0.663
,Hor,39.2,8.37,5.4,0.815
,Cas,243.9,7.61,0.67,0.043
,Cas,148.6,8.73,2.87,1.156
,Hor,303.0,9.26,1.85,0.524
,Cet,101.2,7.83,2.8,0.76
,Hor,384.6,9.44,1.52,0.189
,Cet,546.4,8.02,-0.67,1.019
,Ari,247.5,9.2,2.23,1.166
,For,271.0,8.53,1.36,0.81
,Hyi,81.7,6.86,2.3,0.45
,For,315.5,7.74,0.24,1.602
,Per,591.7,8.84,-0.02,0.887
,Per,217.9,6.66,-0.03,0.193
,Cet,122.2,10.22,4.78,0.553
,Cas,406.5,8.46,0.42,0.362
,Hyi,104.5,8.28,3.18,0.521
,Hor,365.0,9.07,1.26,0.992
,Cas,515.5,7.88,-0.68,0.058
,Cet,223.2,7.66,0.92,1.254
,Hyi,273.2,9.04,1.86,1.216
,Ari,452.5,8.12,-0.16,1.308
,Cet,135.5,10.23,4.57,0.694
,Hor,275.5,6.79,-0.41,-0.048
,Tri,367.6,7.36,-0.47,1.574
,Per,118.8,10.12,4.75,0.58
,For,304.9,7.71,0.29,1.436
,Ari,81.8,6.82,2.26,0.29
,For,219.8,7.8,1.09,1.036
,Cep,36.0,7.67,4.89,0.695
,Cet,114.2,6.19,0.9,1.1
,Eri,65.0,7.93,3.87,0.505
,Hyi,60.1,6.84,2.94,0.568
,Cet,724.6,8.62,-0.68,1.082
,For,277.8,11.67,4.45,0.9
,Hor,89.4,9.85,5.09,0.735
,Hor,92.9,9.12,4.28,0.617
,For,421.9,8.69,0.56,1.08
,Cet,57.3,8.61,4.82,0.646
,For,66.4,7.3,3.19,0.43
,For,148.4,4.96,-0.9,-0.05
,Hor,49.1,6.73,3.28,0.441
,Ari,166.9,9.59,3.48,0.615
,Cet,531.9,8.33,-0.3,1.556
,For,319.5,8.11,0.59,1.256
,And,49.9,7.77,4.28,0.628
,Tri,90.7,8.0,3.21,0.66
,Hor,58.1,6.24,2.42,0.509
,Hyi,549.5,7.89,-0.81,1.648
,Cet,81.4,6.89,2.34,0.333
,For,73.2,8.11,3.79,0.621
,Eri,317.5,9.43,1.92,1.045
,Cas,103.5,6.55,1.48,1.245
,Cet,235.8,9.03,2.17,0.848
,Cas,180.5,6.98,0.7,1.451
,Tri,316.5,7.72,0.22,0.987
,Hor,112.7,9.49,4.23,0.733
,Cet,259.1,7.96,0.89,1.075
,Eri,751.9,9.02,-0.36,0.031
,Cet,531.9,7.89,-0.74,1.39
,Hor,383.1,8.48,0.56,1.208
,Cet,111.9,10.42,5.18,0.696
,Eri,127.6,10.72,5.19,0.762
,Ari,43.3,7.49,4.31,0.666
,Tri,199.2,7.65,1.15,1.093
,Hyi,250.0,7.5,0.51,0.142
,Cet,177.9,7.14,0.89,1.08
,Cet,158.7,9.97,3.97,0.609
,And,404.9,6.69,-1.35,1.097
,Cet,116.7,8.62,3.28,0.458
,And,32.2,7.59,5.05,0.677
,For,101.9,7.6,2.56,0.36
,Per,342.5,8.55,0.88,1.325
,Cet,112.0,9.77,4.52,0.437
,For,42.1,7.57,4.45,0.534
,Cet,375.9,9.76,1.88,0.554
,Tri,210.1,6.7,0.09,1.26
,Hyi,211.4,9.18,2.55,0.529
,For,70.6,9.1,4.86,0.642
,Tri,161.0,7.37,1.34,0.1
,Per,507.6,9.18,0.65,1.284
,Hor,404.9,8.94,0.9,1.195
,Cet,165.0,8.96,2.87,0.167
,Eri,11.6,8.89,8.57,1.39
,Eri,65.2,9.83,5.76,0.778
,Cet,100.8,9.1,4.08,0.65
,For,555.6,9.33,0.61,1.169
,Ari,206.6,7.94,1.36,1.249
,Cet,279.3,8.59,1.36,1.007
,Ari,110.4,6.98,1.77,0.005
,For,76.5,8.59,4.17,0.53
,Hyi,60.1,10.17,6.28,0.934
,And,328.9,8.32,0.73,0.136
,Cet,100.1,12.37,7.37,1.138
,Ari,116.7,8.16,2.82,0.926
,Cas,277.8,6.75,-0.47,1.733
,Cep,154.1,8.14,2.2,0.241
,For,94.9,8.16,3.27,0.551
,Tri,93.9,8.49,3.63,0.45
,Cet,42.3,9.81,6.68,0.906
,Ari,172.7,10.64,4.45,0.378
,Cas,174.2,7.52,1.32,1.032
,Cet,179.2,7.02,0.75,1.062
,Eri,48.9,9.98,6.54,0.985
,For,140.8,9.64,3.9,0.595
,For,162.6,9.23,3.17,0.64
,For,300.3,8.49,1.1,1.201
,Ari,127.7,8.37,2.84,0.345
,Cet,438.6,8.74,0.53,0.976
,Ari,232.6,8.45,1.62,0.325
,And,283.3,6.98,-0.28,0.05
,Cet,243.3,9.6,2.67,1.003
,For,561.8,8.67,-0.08,1.524
,Cas,574.7,9.84,1.04,0.657
,Cet,140.6,5.74,-0.0,1.393
,Tri,130.4,7.61,2.03,0.463
,Cep,793.7,9.92,0.42,0.139
,Cet,45.7,11.03,7.73,1.268
,Cas,234.2,10.33,3.48,0.405
,Hor,241.0,8.93,2.02,1.079
,And,740.7,8.17,-1.18,0.099
,Cas,290.7,8.37,1.05,0.495
,Hor,242.1,9.33,2.41,1.102
,Cet,234.2,8.47,1.62,0.931
,Cas,337.8,9.15,1.51,1.468
,Cet,288.2,7.76,0.46,1.136
,Cet,537.6,8.59,-0.06,1.054
,Eri,310.6,7.03,-0.43,1.54
,Ari,456.6,10.07,1.77,1.43
,Oct,69.0,7.44,3.24,0.684
,Cet,346.0,10.6,2.9,0.499
,Cet,226.8,8.4,1.62,1.089
,Cet,289.0,8.99,1.68,1.059
,Cet,119.0,6.17,0.79,1.053
,Cet,230.9,7.66,0.84,0.069
,Ari,248.8,8.27,1.29,0.69
,Ari,83.5,9.22,4.61,0.612
,Cet,490.2,8.33,-0.12,1.0
,Hor,169.8,8.22,2.07,0.008
,Cet,242.7,8.15,1.22,1.235
,Eri,719.4,9.22,-0.06,1.183
,Cas,202.8,6.93,0.39,0.99
,Cet,91.7,12.41,7.6,-0.201
,Hor,406.5,9.24,1.2,1.272
,For,362.3,8.08,0.28,1.282
,Cet,56.0,8.15,4.41,0.539
,Cet,336.7,9.87,2.23,0.478
,For,170.4,7.87,1.71,0.185
,Cet,211.4,9.46,2.83,0.376
,Cet,142.5,10.09,4.32,0.71
,And,200.0,7.79,1.28,0.256
,Per,54.1,9.35,5.68,0.76
,Cet,101.1,10.14,5.12,0.629
,And,319.5,7.88,0.36,-0.03
,Tri,307.7,8.11,0.67,1.016
,Hor,184.5,9.31,2.98,0.513
,Cep,450.5,8.64,0.37,0.997
,And,89.9,8.88,4.11,0.565
,Hor,248.1,7.98,1.01,1.044
,Cet,39.0,6.83,3.88,0.67
,Ari,190.5,8.23,1.83,1.278
,For,787.4,8.56,-0.92,0.969
,Tri,606.1,8.61,-0.3,1.445
,Ari,197.6,8.24,1.76,1.07
,Cet,129.5,8.61,3.05,0.806
,Cet,133.3,7.12,1.5,0.015
,And,198.0,6.36,-0.12,-0.095
,Per,337.8,9.04,1.4,1.089
,Cas,288.2,7.31,0.01,1.211
,Hor,179.5,6.96,0.69,0.958
,Ari,164.5,9.28,3.2,0.733
,Cas,56.0,8.95,5.21,0.66
,Cet,135.3,8.93,3.27,0.643
,And,485.4,7.56,-0.87,0.006
,Cet,39.2,10.19,7.22,1.094
,Eri,862.1,8.65,-1.03,1.303
,Cas,46.9,8.42,5.06,0.696
,Per,384.6,8.89,0.96,0.078
,Eri,179.5,8.44,2.17,0.41
,Cet,164.2,6.84,0.76,1.122
,Eri,375.9,9.12,1.24,0.657
,And,191.2,5.72,-0.69,1.389
,Hor,609.8,9.02,0.09,0.927
,And,239.2,9.22,2.33,0.15
,Ari,383.1,8.35,0.43,1.15
,Cet,194.2,8.99,2.55,1.204
,And,384.6,8.74,0.82,0.156
,Oct,180.5,7.22,0.94,1.088
,Ari,490.2,8.16,-0.29,1.48
,Ari,229.4,8.18,1.38,0.278
,Cas,72.2,7.72,3.43,0.516
,And,483.1,7.9,-0.52,1.367
,Cas,166.7,6.64,0.53,0.422
,For,138.7,8.66,2.95,0.483
,Cet,293.3,8.19,0.85,1.104
,Tri,193.8,5.38,-1.06,1.652
,Cet,46.5,10.51,7.17,1.075
,Cet,81.9,9.51,4.94,0.549
,Cet,250.0,8.48,1.49,0.934
,Tri,357.1,6.73,-1.03,0.2
,Cet,163.7,9.0,2.93,0.591
,Cet,104.3,4.87,-0.22,0.88
,Cet,211.4,9.3,2.67,0.54
,Cet,97.2,8.67,3.73,0.687
,Tri,119.3,9.64,4.26,0.69
,Ari,13.6,10.68,10.01,1.47
,Cet,177.3,9.53,3.29,0.394
,Ari,66.4,8.02,3.91,0.609
,Tri,123.8,7.42,1.96,1.061
,Eri,78.1,12.55,8.09,0.556
,Cet,63.3,6.93,2.92,0.674
,Eri,529.1,8.24,-0.38,0.978
,Cet,339.0,7.07,-0.58,0.941
,For,212.8,9.83,3.19,0.64
,Cet,142.7,5.53,-0.24,1.607
,Cet,281.7,8.83,1.58,0.361
,Cet,21.3,8.34,6.7,1.069
,For,31.9,9.47,6.95,1.06
,Ari,199.2,7.26,0.76,0.537
,Hor,166.1,8.39,2.29,0.993
,Cet,115.6,7.0,1.68,0.353
268 G. Cet,Cet,7.2,5.79,6.51,0.918
,Ari,421.9,7.08,-1.05,0.039
,And,625.0,9.24,0.26,0.286
,Eri,190.8,8.09,1.69,0.905
,Cet,95.1,9.78,4.89,0.641
,For,41.6,8.38,5.28,0.77
,Cep,267.4,7.44,0.3,1.005
,Eri,123.5,8.78,3.32,0.566
,For,178.6,5.74,-0.52,1.017
,Per,595.2,8.28,-0.59,1.787
,Ari,252.5,8.6,1.59,1.082
,Ari,228.3,8.36,1.57,1.028
,Cet,71.2,10.7,6.44,0.855
,Cas,632.9,8.88,-0.13,0.09
,Cet,133.9,9.08,3.45,0.345
,Hor,160.0,8.69,2.67,0.358
,Ari,257.1,9.57,2.52,1.567
,Cas,65.3,7.25,3.18,0.401
,Cet,228.3,8.1,1.31,0.979
,For,800.0,10.82,1.3,0.93
,For,225.2,7.76,1.0,1.033
,Ari,163.9,8.34,2.27,0.397
,Cet,325.7,7.65,0.09,0.991
,Cet,105.4,10.09,4.98,0.56
,For,211.4,7.5,0.87,1.026
,Ari,49.8,12.33,8.84,0.8
,And,124.2,10.69,5.22,0.827
,For,31.4,11.95,9.47,1.407
,Cas,181.5,7.47,1.18,1.205
,Cet,181.5,6.91,0.62,1.034
,Cet,90.7,5.81,1.02,1.04
,Hyi,54.7,9.83,6.14,0.876
,For,251.9,8.63,1.62,0.161
,Cas,862.1,8.47,-1.21,0.076
,And,213.7,6.8,0.15,-0.067
,Per,463.0,8.62,0.29,0.18
,Ari,34.7,5.64,2.94,0.516
,Eri,395.3,9.32,1.34,1.232
,Ari,48.8,11.73,8.29,1.35
,Eri,40.2,11.03,8.01,1.33
,Cet,261.1,10.31,3.23,0.577
,Cet,24.1,8.1,6.19,0.944
,Ari,141.6,8.18,2.42,0.466
,Tri,113.8,6.07,0.79,1.052
,Ari,238.1,8.55,1.67,0.302
,Cet,348.4,10.17,2.46,0.599
,For,411.5,7.53,-0.54,1.521
,Cet,133.9,8.39,2.76,0.304
,Cas,393.7,9.84,1.86,1.351
